"Time (ps)"	"Counts per bin"
0	1488
100000	1459
200000	1413
300000	1438
400000	1458
500000	1487
600000	1502
700000	1456
800000	1340
900000	1383
1000000	1428
1100000	1486
1200000	1399
1300000	1354
1400000	1335
1500000	1370
1600000	1365
1700000	1353
1800000	1358
1900000	1424
2000000	1359
2100000	1374
2200000	1332
2300000	1379
2400000	1256
2500000	1371
2600000	1468
2700000	1318
2800000	1295
2900000	1257
3000000	1248
3100000	1279
3200000	1277
3300000	1244
3400000	1289
3500000	1264
3600000	1277
3700000	1206
3800000	1300
3900000	1253
4000000	1255
4100000	1258
4200000	1244
4300000	1191
4400000	1239
4500000	1213
4600000	1252
4700000	1203
4800000	1253
4900000	1224
5000000	1203
5100000	1182
5200000	1182
5300000	1184
5400000	1223
5500000	1261
5600000	1165
5700000	1191
5800000	1200
5900000	1187
6000000	1170
6100000	1159
6200000	1177
6300000	1176
6400000	1179
6500000	1173
6600000	1187
6700000	1130
6800000	1192
6900000	1150
7000000	1140
7100000	1154
7200000	1153
7300000	1185
7400000	1131
7500000	1199
7600000	1204
7700000	1076
7800000	1153
7900000	1121
8000000	1189
8100000	1076
8200000	1174
8300000	1106
8400000	1029
8500000	1134
8600000	1092
8700000	1091
8800000	1058
8900000	1064
9000000	1088
9100000	1122
9200000	1098
9300000	1052
9400000	1064
9500000	1034
9600000	1066
9700000	1094
9800000	1103
9900000	1028
10000000	1096
10100000	1039
10200000	1053
10300000	1016
10400000	1028
10500000	1081
10600000	1026
10700000	1050
10800000	1046
10900000	1020
11000000	1001
11100000	1023
11200000	1021
11300000	1041
11400000	1055
11500000	1016
11600000	1046
11700000	970
11800000	984
11900000	976
12000000	993
12100000	987
12200000	1019
12300000	975
12400000	1044
12500000	1014
12600000	1003
12700000	965
12800000	991
12900000	991
13000000	968
13100000	960
13200000	993
13300000	1043
13400000	1037
13500000	928
13600000	967
13700000	963
13800000	979
13900000	918
14000000	972
14100000	956
14200000	967
14300000	947
14400000	913
14500000	908
14600000	881
14700000	918
14800000	938
14900000	897
15000000	967
15100000	980
15200000	932
15300000	957
15400000	1000
15500000	917
15600000	916
15700000	935
15800000	927
15900000	906
16000000	884
16100000	921
16200000	856
16300000	948
16400000	904
16500000	866
16600000	908
16700000	907
16800000	915
16900000	853
17000000	863
17100000	918
17200000	909
17300000	903
17400000	941
17500000	856
17600000	884
17700000	876
17800000	894
17900000	885
18000000	931
18100000	860
18200000	839
18300000	867
18400000	855
18500000	908
18600000	843
18700000	800
18800000	826
18900000	849
19000000	863
19100000	879
19200000	821
19300000	781
19400000	868
19500000	832
19600000	871
19700000	809
19800000	831
19900000	812
20000000	811
20100000	811
20200000	805
20300000	851
20400000	818
20500000	804
20600000	841
20700000	831
20800000	826
20900000	863
21000000	810
21100000	766
21200000	847
21300000	807
21400000	768
21500000	777
21600000	842
21700000	808
21800000	817
21900000	748
22000000	788
22100000	829
22200000	735
22300000	778
22400000	828
22500000	817
22600000	868
22700000	825
22800000	798
22900000	756
23000000	769
23100000	770
23200000	758
23300000	763
23400000	812
23500000	748
23600000	751
23700000	784
23800000	780
23900000	765
24000000	790
24100000	789
24200000	794
24300000	756
24400000	743
24500000	799
24600000	802
24700000	714
24800000	767
24900000	770
25000000	722
25100000	742
