"Time (ps)"	"Counts per bin"
0	1680
100000	1616
200000	1666
300000	1721
400000	1712
500000	1821
600000	1707
700000	1691
800000	1752
900000	1705
1000000	1755
1100000	1681
1200000	1741
1300000	1663
1400000	1704
1500000	1740
1600000	1648
1700000	1754
1800000	1772
1900000	1679
2000000	1683
2100000	1740
2200000	1703
2300000	1648
2400000	1674
2500000	1647
2600000	1665
2700000	1751
2800000	1711
2900000	1706
3000000	1662
3100000	1654
3200000	1661
3300000	1655
3400000	1587
3500000	1653
3600000	1647
3700000	1626
3800000	1595
3900000	1696
4000000	1644
4100000	1614
4200000	1641
4300000	1630
4400000	1590
4500000	1636
4600000	1657
4700000	1646
4800000	1623
4900000	1612
5000000	1589
5100000	1525
5200000	1615
5300000	1611
5400000	1591
5500000	1644
5600000	1602
5700000	1594
5800000	1564
5900000	1543
6000000	1612
6100000	1556
6200000	1462
6300000	1519
6400000	1510
6500000	1566
6600000	1528
6700000	1517
6800000	1479
6900000	1499
7000000	1505
7100000	1521
7200000	1452
7300000	1522
7400000	1461
7500000	1509
7600000	1493
7700000	1508
7800000	1532
7900000	1514
8000000	1493
8100000	1419
8200000	1495
8300000	1530
8400000	1423
8500000	1403
8600000	1452
8700000	1438
8800000	1416
8900000	1429
9000000	1417
9100000	1377
9200000	1397
9300000	1349
9400000	1428
9500000	1409
9600000	1359
9700000	1417
9800000	1376
9900000	1357
10000000	1346
10100000	1343
10200000	1359
10300000	1355
10400000	1387
10500000	1317
10600000	1406
10700000	1430
10800000	1368
10900000	1368
11000000	1327
11100000	1306
11200000	1340
11300000	1305
11400000	1353
11500000	1238
11600000	1345
11700000	1290
11800000	1301
11900000	1337
12000000	1341
12100000	1332
12200000	1246
12300000	1256
12400000	1285
12500000	1277
12600000	1304
12700000	1215
12800000	1188
12900000	1269
13000000	1296
13100000	1305
13200000	1269
13300000	1216
13400000	1276
13500000	1217
13600000	1256
13700000	1250
13800000	1304
13900000	1245
14000000	1214
14100000	1238
14200000	1261
14300000	1276
14400000	1185
14500000	1193
14600000	1241
14700000	1196
14800000	1170
14900000	1153
15000000	1198
15100000	1222
15200000	1167
15300000	1154
15400000	1154
15500000	1183
15600000	1136
15700000	1234
15800000	1158
15900000	1147
16000000	1194
16100000	1146
16200000	1189
16300000	1159
16400000	1104
16500000	1176
16600000	1123
16700000	1204
16800000	1074
16900000	1114
17000000	1180
17100000	1131
17200000	1111
17300000	1167
17400000	1068
17500000	1131
17600000	1119
17700000	1103
17800000	1127
17900000	1082
18000000	1068
18100000	1130
18200000	1071
18300000	1042
18400000	1111
18500000	1062
18600000	1029
18700000	1032
18800000	1065
18900000	1053
19000000	1046
19100000	994
19200000	1028
19300000	1077
19400000	1034
19500000	1090
19600000	1011
19700000	1001
19800000	1019
19900000	1011
20000000	991
20100000	991
20200000	1085
20300000	1015
20400000	1066
20500000	1049
20600000	993
20700000	966
20800000	996
20900000	997
21000000	966
21100000	960
21200000	973
21300000	1000
21400000	940
21500000	983
21600000	1018
21700000	1008
21800000	926
21900000	998
22000000	998
22100000	915
22200000	978
22300000	939
22400000	937
22500000	963
22600000	946
22700000	997
22800000	958
22900000	873
23000000	998
23100000	975
23200000	973
23300000	922
23400000	963
23500000	956
23600000	909
23700000	907
23800000	933
23900000	884
24000000	902
24100000	838
24200000	878
24300000	927
24400000	880
24500000	924
24600000	870
24700000	849
24800000	887
24900000	874
25000000	910
25100000	892
25200000	858
25300000	862
25400000	834
25500000	921
25600000	881
25700000	831
25800000	868
25900000	880
26000000	834
26100000	803
26200000	852
26300000	853
26400000	877
26500000	790
26600000	859
26700000	815
26800000	854
26900000	839
27000000	835
27100000	824
27200000	884
27300000	817
27400000	823
27500000	826
27600000	794
27700000	827
27800000	840
27900000	875
28000000	837
28100000	800
28200000	762
28300000	789
28400000	794
28500000	784
28600000	801
28700000	819
28800000	830
28900000	848
29000000	800
29100000	824
29200000	780
29300000	780
29400000	807
29500000	763
29600000	756
29700000	776
29800000	763
29900000	748
30000000	792
30100000	751
30200000	777
30300000	728
30400000	748
30500000	755
30600000	779
30700000	772
30800000	817
30900000	727
31000000	773
31100000	790
31200000	782
31300000	728
31400000	748
31500000	761
31600000	708
31700000	721
31800000	738
31900000	715
32000000	767
32100000	725
32200000	736
32300000	722
32400000	705
32500000	785
32600000	738
32700000	717
32800000	700
32900000	741
33000000	637
33100000	683
33200000	737
33300000	684
33400000	709
33500000	749
33600000	715
33700000	703
33800000	693
33900000	719
34000000	693
34100000	668
34200000	699
34300000	707
34400000	685
34500000	665
34600000	705
34700000	682
34800000	687
34900000	688
35000000	675
35100000	669
35200000	655
35300000	698
35400000	663
35500000	688
35600000	674
35700000	645
35800000	662
35900000	628
36000000	676
36100000	676
36200000	655
36300000	655
36400000	683
36500000	670
36600000	623
36700000	662
36800000	659
36900000	694
37000000	695
37100000	666
37200000	661
37300000	669
37400000	594
37500000	630
37600000	652
37700000	612
37800000	633
37900000	622
38000000	632
38100000	650
38200000	643
38300000	649
38400000	624
38500000	586
38600000	600
38700000	628
38800000	587
38900000	598
39000000	583
39100000	608
39200000	579
39300000	589
39400000	583
39500000	644
39600000	620
39700000	577
39800000	621
39900000	605
40000000	592
40100000	604
40200000	620
40300000	599
40400000	605
40500000	592
40600000	602
40700000	602
40800000	573
40900000	605
41000000	596
41100000	604
41200000	540
41300000	559
41400000	543
41500000	585
41600000	596
41700000	531
41800000	585
41900000	591
42000000	569
42100000	611
42200000	514
42300000	551
42400000	546
42500000	564
42600000	549
42700000	558
42800000	589
42900000	553
43000000	532
43100000	567
43200000	577
43300000	559
43400000	543
43500000	489
43600000	576
43700000	566
43800000	572
43900000	558
44000000	565
44100000	517
44200000	586
44300000	542
44400000	566
44500000	547
44600000	544
44700000	534
44800000	563
44900000	542
45000000	526
45100000	549
45200000	516
45300000	519
45400000	486
45500000	528
45600000	527
45700000	538
45800000	511
45900000	506
46000000	529
46100000	511
46200000	527
46300000	521
46400000	516
46500000	490
46600000	492
46700000	493
46800000	508
46900000	527
47000000	519
47100000	532
47200000	496
47300000	513
47400000	483
47500000	490
47600000	530
47700000	506
47800000	507
47900000	486
48000000	501
48100000	554
48200000	504
48300000	497
48400000	486
48500000	496
48600000	479
48700000	476
48800000	494
48900000	428
49000000	434
49100000	519
49200000	499
49300000	499
49400000	507
49500000	451
49600000	466
49700000	478
49800000	502
49900000	449
50000000	496
50100000	498
50200000	471
50300000	517
50400000	507
50500000	465
50600000	493
50700000	462
50800000	427
50900000	474
51000000	492
51100000	439
51200000	441
51300000	488
51400000	447
51500000	504
51600000	467
51700000	471
51800000	436
51900000	497
52000000	432
52100000	421
52200000	465
52300000	489
52400000	457
52500000	462
52600000	454
52700000	434
52800000	462
52900000	442
53000000	464
53100000	445
53200000	421
53300000	435
53400000	465
53500000	458
53600000	401
53700000	405
53800000	451
53900000	407
54000000	421
54100000	429
54200000	432
54300000	413
54400000	453
54500000	446
54600000	471
54700000	397
54800000	400
54900000	400
55000000	423
55100000	459
55200000	440
55300000	429
55400000	418
55500000	402
55600000	416
55700000	419
55800000	427
55900000	405
56000000	428
56100000	403
56200000	402
56300000	420
56400000	444
56500000	426
56600000	439
56700000	433
56800000	421
56900000	410
57000000	382
57100000	431
57200000	374
57300000	392
57400000	445
57500000	416
57600000	400
57700000	394
57800000	398
57900000	374
58000000	377
58100000	419
58200000	408
58300000	405
58400000	367
58500000	382
58600000	402
58700000	406
58800000	396
58900000	405
59000000	391
59100000	384
59200000	404
59300000	383
59400000	393
59500000	378
59600000	378
59700000	353
59800000	358
59900000	387
60000000	365
60100000	369
60200000	338
60300000	367
60400000	364
60500000	379
60600000	377
60700000	340
60800000	349
60900000	365
61000000	364
61100000	359
61200000	359
61300000	366
61400000	358
61500000	370
61600000	342
61700000	383
61800000	392
61900000	377
62000000	364
62100000	406
62200000	400
62300000	394
62400000	373
62500000	366
62600000	337
62700000	373
62800000	359
62900000	355
63000000	357
63100000	333
63200000	344
63300000	326
63400000	381
63500000	311
63600000	346
63700000	362
63800000	362
63900000	355
64000000	350
64100000	368
64200000	372
64300000	357
64400000	365
64500000	366
64600000	350
64700000	334
64800000	334
64900000	348
65000000	372
65100000	332
65200000	341
65300000	352
65400000	343
65500000	339
65600000	328
65700000	333
65800000	332
65900000	325
66000000	342
66100000	346
66200000	319
66300000	362
66400000	356
66500000	315
66600000	317
66700000	316
66800000	361
66900000	334
67000000	321
67100000	336
67200000	316
67300000	326
67400000	317
67500000	337
67600000	332
67700000	317
67800000	321
67900000	317
68000000	319
68100000	315
68200000	282
68300000	324
68400000	302
68500000	358
68600000	326
68700000	324
68800000	318
68900000	329
69000000	293
69100000	343
69200000	325
69300000	309
69400000	330
69500000	334
69600000	341
69700000	300
69800000	315
69900000	285
70000000	302
70100000	344
70200000	282
70300000	351
70400000	313
70500000	299
70600000	326
70700000	300
70800000	291
70900000	336
71000000	307
71100000	287
71200000	307
71300000	286
71400000	301
71500000	293
71600000	309
71700000	251
71800000	325
71900000	280
72000000	289
72100000	333
72200000	270
72300000	316
72400000	333
72500000	320
72600000	297
72700000	286
72800000	311
72900000	320
73000000	339
73100000	289
73200000	286
73300000	293
73400000	298
73500000	298
73600000	308
73700000	278
73800000	304
73900000	286
74000000	257
74100000	280
74200000	313
74300000	303
74400000	293
74500000	277
74600000	270
74700000	293
74800000	312
74900000	287
75000000	274
75100000	284
75200000	285
75300000	253
75400000	318
75500000	266
75600000	299
75700000	292
75800000	268
75900000	274
76000000	290
76100000	279
76200000	303
76300000	279
76400000	267
76500000	280
76600000	282
76700000	277
76800000	276
76900000	273
77000000	284
77100000	251
77200000	271
77300000	266
77400000	259
77500000	281
77600000	268
77700000	279
77800000	276
77900000	311
