"Time (ps)"	"Counts per bin"
0	1484
100000	1475
200000	1498
300000	1447
400000	1531
500000	1510
600000	1470
700000	1483
800000	1450
900000	1420
1000000	1426
1100000	1476
1200000	1362
1300000	1401
1400000	1404
1500000	1412
1600000	1400
1700000	1401
1800000	1398
1900000	1416
2000000	1346
2100000	1364
2200000	1368
2300000	1314
2400000	1377
2500000	1286
2600000	1389
2700000	1351
2800000	1304
2900000	1327
3000000	1366
3100000	1396
3200000	1301
3300000	1291
3400000	1345
3500000	1327
3600000	1291
3700000	1333
3800000	1259
3900000	1360
4000000	1307
4100000	1313
4200000	1269
4300000	1274
4400000	1395
4500000	1254
4600000	1238
4700000	1315
4800000	1306
4900000	1199
5000000	1282
5100000	1262
5200000	1314
5300000	1278
5400000	1221
5500000	1214
5600000	1152
5700000	1208
5800000	1256
5900000	1260
6000000	1235
6100000	1242
6200000	1226
6300000	1180
6400000	1189
6500000	1160
6600000	1253
6700000	1224
6800000	1181
6900000	1178
7000000	1085
7100000	1184
7200000	1133
7300000	1130
7400000	1130
7500000	1208
7600000	1206
7700000	1245
7800000	1191
7900000	1152
8000000	1134
8100000	1094
8200000	1181
8300000	1091
8400000	1149
8500000	1061
8600000	1134
8700000	1150
8800000	1142
8900000	1095
9000000	1091
9100000	1091
9200000	1120
9300000	1079
9400000	1121
9500000	1099
9600000	1137
9700000	1125
9800000	1083
9900000	1095
10000000	1123
10100000	1141
10200000	1086
10300000	1066
10400000	1109
10500000	1068
10600000	1027
10700000	1066
10800000	1084
10900000	1045
11000000	1121
11100000	1047
11200000	1053
11300000	1057
11400000	1024
11500000	971
11600000	1045
11700000	1004
11800000	1022
11900000	1007
12000000	1015
12100000	991
12200000	1054
12300000	1076
12400000	1052
12500000	1022
12600000	1036
12700000	997
12800000	1043
12900000	992
13000000	997
13100000	985
13200000	1000
13300000	1011
13400000	1005
13500000	949
13600000	1027
13700000	992
13800000	966
13900000	950
14000000	976
14100000	996
14200000	1000
14300000	939
14400000	943
14500000	1004
14600000	1008
14700000	965
14800000	983
14900000	949
15000000	918
15100000	1032
15200000	956
15300000	917
15400000	922
15500000	949
15600000	936
15700000	927
15800000	913
15900000	890
16000000	921
16100000	977
16200000	899
16300000	968
16400000	964
16500000	959
16600000	944
16700000	946
16800000	916
16900000	917
17000000	909
17100000	896
17200000	913
17300000	873
17400000	878
17500000	921
17600000	884
17700000	881
17800000	945
17900000	903
18000000	920
18100000	890
18200000	872
18300000	929
18400000	930
18500000	904
18600000	880
18700000	878
