"Time (ps)"	"Counts per bin"
0	4031
50000	3866
100000	3959
150000	3904
200000	4086
250000	3973
300000	3911
350000	3960
400000	3996
450000	4034
500000	3918
550000	3897
600000	3935
650000	3979
700000	3986
750000	4017
800000	4004
850000	3930
900000	4078
950000	4037
1000000	3957
1050000	4157
1100000	3952
1150000	3849
1200000	4059
1250000	3996
1300000	3971
1350000	4103
1400000	3931
1450000	4093
1500000	4008
1550000	4141
1600000	3952
1650000	3905
1700000	4031
1750000	4030
1800000	3906
1850000	3945
1900000	3877
1950000	3985
2000000	4053
2050000	3960
2100000	3988
2150000	3966
2200000	4073
2250000	4024
2300000	3973
2350000	4019
2400000	3938
2450000	3948
2500000	3943
2550000	3876
2600000	3981
2650000	3955
2700000	4038
2750000	3957
2800000	3858
2850000	4022
2900000	3926
2950000	3893
3000000	3818
3050000	3944
3100000	3950
3150000	3990
3200000	3931
3250000	3844
3300000	3945
3350000	3885
3400000	3874
3450000	3857
3500000	3800
3550000	3840
3600000	3924
3650000	3850
3700000	3955
3750000	3861
3800000	3844
3850000	3802
3900000	3845
3950000	3840
4000000	3804
4050000	3877
4100000	3929
4150000	3877
4200000	3727
4250000	3806
4300000	3816
4350000	3798
4400000	3736
4450000	3820
4500000	3738
4550000	3699
4600000	3824
4650000	3880
4700000	3726
4750000	3773
4800000	3803
4850000	3722
4900000	3798
4950000	3713
5000000	3688
5050000	3709
5100000	3797
5150000	3729
5200000	3651
5250000	3708
5300000	3739
5350000	3772
5400000	3831
5450000	3729
5500000	3714
5550000	3801
5600000	3655
5650000	3583
5700000	3692
5750000	3685
5800000	3738
5850000	3744
5900000	3634
5950000	3712
6000000	3576
6050000	3738
6100000	3728
6150000	3690
6200000	3676
6250000	3578
6300000	3681
6350000	3598
6400000	3644
6450000	3653
6500000	3589
6550000	3548
6600000	3531
6650000	3636
6700000	3574
6750000	3601
6800000	3578
6850000	3515
6900000	3532
6950000	3640
7000000	3560
7050000	3639
7100000	3566
7150000	3618
7200000	3545
7250000	3577
7300000	3506
7350000	3506
7400000	3567
7450000	3503
7500000	3538
7550000	3488
7600000	3556
7650000	3388
7700000	3473
7750000	3380
7800000	3495
7850000	3446
7900000	3487
7950000	3526
8000000	3614
8050000	3312
8100000	3459
8150000	3445
8200000	3442
8250000	3404
8300000	3403
8350000	3512
8400000	3454
8450000	3373
8500000	3360
8550000	3558
8600000	3479
8650000	3394
8700000	3486
8750000	3360
8800000	3337
8850000	3347
8900000	3422
8950000	3450
9000000	3408
9050000	3360
9100000	3339
9150000	3425
9200000	3260
9250000	3349
9300000	3357
9350000	3314
9400000	3260
9450000	3300
9500000	3274
9550000	3338
9600000	3330
9650000	3345
9700000	3348
9750000	3253
9800000	3314
9850000	3248
