"Time (ps)"	"Counts per bin"
0	3754
100000	3646
200000	3634
300000	3730
400000	3649
500000	3790
600000	3727
700000	3638
800000	3583
900000	3676
1000000	3617
1100000	3681
1200000	3663
1300000	3635
1400000	3678
1500000	3672
1600000	3625
1700000	3728
1800000	3669
1900000	3754
2000000	3711
2100000	3600
2200000	3601
2300000	3647
2400000	3655
2500000	3634
2600000	3668
2700000	3539
2800000	3580
2900000	3679
3000000	3597
3100000	3617
3200000	3583
3300000	3576
3400000	3597
3500000	3606
3600000	3527
3700000	3555
3800000	3586
3900000	3587
4000000	3505
4100000	3576
4200000	3565
4300000	3531
4400000	3518
4500000	3551
4600000	3513
4700000	3461
4800000	3456
4900000	3517
5000000	3413
5100000	3447
5200000	3484
5300000	3488
5400000	3426
5500000	3541
5600000	3364
5700000	3340
5800000	3378
5900000	3417
6000000	3460
6100000	3360
6200000	3321
6300000	3413
6400000	3406
6500000	3342
6600000	3383
6700000	3257
6800000	3250
6900000	3359
7000000	3313
7100000	3365
7200000	3411
7300000	3301
7400000	3302
7500000	3210
7600000	3336
7700000	3207
7800000	3161
7900000	3150
8000000	3236
8100000	3101
8200000	3193
8300000	3246
8400000	3194
8500000	3185
8600000	3031
8700000	3170
8800000	3113
8900000	3065
9000000	3102
9100000	3107
9200000	3192
9300000	3111
9400000	3093
9500000	3005
9600000	3123
9700000	3090
9800000	3060
9900000	3054
10000000	3166
10100000	3059
10200000	2989
10300000	3005
10400000	2988
10500000	3028
10600000	2979
10700000	3031
10800000	3000
10900000	2956
11000000	2959
11100000	2940
11200000	2920
11300000	2970
11400000	2928
11500000	2869
11600000	2804
11700000	2801
11800000	2828
11900000	2795
12000000	2829
12100000	2840
12200000	2853
12300000	2757
12400000	2898
12500000	2819
12600000	2792
12700000	2860
12800000	2709
12900000	2724
13000000	2846
13100000	2780
13200000	2781
13300000	2646
13400000	2738
13500000	2781
13600000	2603
13700000	2787
13800000	2769
13900000	2733
14000000	2732
14100000	2722
14200000	2702
14300000	2704
14400000	2602
14500000	2710
14600000	2786
14700000	2674
14800000	2654
14900000	2539
15000000	2620
15100000	2578
15200000	2599
15300000	2641
15400000	2574
15500000	2586
15600000	2440
15700000	2553
15800000	2571
15900000	2542
16000000	2567
16100000	2553
16200000	2440
16300000	2459
16400000	2503
16500000	2506
16600000	2409
16700000	2432
16800000	2521
16900000	2478
17000000	2450
17100000	2497
17200000	2442
17300000	2419
17400000	2328
17500000	2437
17600000	2422
17700000	2437
17800000	2335
17900000	2464
18000000	2301
18100000	2356
18200000	2365
18300000	2407
18400000	2248
18500000	2358
18600000	2402
18700000	2311
18800000	2267
18900000	2307
19000000	2338
19100000	2213
19200000	2344
19300000	2253
19400000	2355
19500000	2279
19600000	2253
19700000	2198
19800000	2221
19900000	2275
20000000	2266
20100000	2150
20200000	2231
20300000	2157
