,counts,time
0,12.023,10
1,0.0008,23
2,0.0004,36
3,0.0002,49
4,0.0002,62
5,0.0002,75
6,0.001,88
7,0.0002,101
8,0.0,114
9,0.0004,127
10,0.0004,140
11,0.0002,153
12,0.0006000000000000001,166
13,0.0004,179
14,0.07440000000000001,192
15,0.17060000000000003,205
16,0.17440000000000003,218
17,0.1718,231
18,0.18180000000000002,244
19,0.18420000000000003,257
20,0.17880000000000001,270
21,0.1948,283
22,0.1554,296
23,0.19740000000000005,309
24,0.1778,322
25,0.1718,335
26,0.17500000000000002,348
27,0.18240000000000003,361
28,0.1854,374
29,0.0936,387
30,0.004,400
31,0.001,413
32,0.0012,426
33,0.0016,439
34,0.0008,452
35,0.0,465
36,0.0016,478
37,0.0012000000000000001,491
