Frame,Drop Height,Change,Distance
1,742,0,0
2,244,-498,0
3,742,498,0
4,742,0,0
5,742,0,0
6,244,-498,0
7,73,-171,0
8,244,171,0
9,244,0,0
10,244,0,0
11,244,0,0
12,244,0,0
13,860,616,0
14,860,0,0
15,244,-616,0
16,244,0,0
17,742,498,0
18,860,118,0
19,860,0,0
20,733,-127,0
21,757,24,0
22,742,-15,0
23,860,118,0
24,767,-93,0
25,742,-25,0
26,733,-9,0
27,733,0,0
28,860,127,0
29,860,0,0
30,860,0,0
31,860,0,0
32,860,0,0
33,860,0,0
34,860,0,0
35,860,0,0
36,860,0,0
37,860,0,0
38,860,0,0
39,860,0,0
40,860,0,0
41,860,0,0
42,742,-118,0
43,860,118,0
44,860,0,0
45,860,0,0
46,860,0,0
47,757,-103,0
48,757,0,0
49,757,0,0
50,244,-513,0
51,244,0,0
52,244,0,0
53,244,0,0
54,244,0,0
55,244,0,0
56,244,0,0
57,244,0,0
58,244,0,0
59,860,616,0
60,860,0,0
61,742,-118,0
62,742,0,0
63,860,118,0
64,860,0,0
65,860,0,0
66,742,-118,0
67,244,-498,0
68,860,616,0
69,860,0,0
70,860,0,0
71,860,0,0
72,243,-617,0
73,242,-1,0
74,744,502,0
75,860,116,0
76,240,-620,0
77,860,620,0
78,860,0,0
79,237,-623,0
80,236,-1,0
81,236,0,0
82,235,-1,0
83,235,0,0
84,234,-1,0
85,233,-1,0
86,232,-1,0
87,231,-1,0
88,357,126,0
89,857,500,0
90,229,-628,0
91,229,0,0
92,228,-1,0
93,228,0,0
94,228,0,0
95,227,-1,0
96,725,498,0
97,725,0,0
98,227,-498,0
99,227,0,0
100,725,498,0
101,725,0,0
102,227,-498,0
103,839,612,0
104,227,-612,0
105,725,498,0
106,725,0,0
107,750,25,0
108,750,0,0
109,735,-15,0
110,750,15,0
111,725,-25,0
112,725,0,0
113,725,0,0
114,725,0,0
115,227,-498,0
116,709,482,0
117,227,-482,0
118,227,0,0
119,227,0,0
120,227,0,0
121,73,-154,0
122,227,154,0
123,73,-154,0
124,735,662,0
125,746,11,0
126,750,4,0
127,227,-523,0
128,227,0,0
129,716,489,0
130,227,-489,0
131,227,0,0
132,227,0,0
133,227,0,0
134,227,0,0
135,227,0,0
136,226,-1,0
137,226,0,0
138,226,0,0
139,225,-1,0
140,754,529,0
141,225,-529,0
142,351,126,0
143,225,-126,0
144,73,-152,0
145,225,152,0
146,225,0,0
147,732,507,0
148,224,-508,0
149,224,0,0
150,224,0,0
151,712,488,0
152,223,-489,0
153,755,532,0
154,73,-682,0
155,221,148,0
156,744,523,0
157,221,-523,0
158,221,0,0
159,221,0,0
160,754,533,0
161,221,-533,0
162,221,0,0
163,220,-1,0
164,220,0,0
165,73,-147,0
166,219,146,0
167,219,0,0
168,726,507,0
169,218,-508,0
170,218,0,0
171,217,-1,0
172,217,0,0
173,217,0,0
174,217,0,0
175,217,0,0
176,217,0,0
177,216,-1,0
178,215,-1,0
179,215,0,0
180,747,532,0
181,214,-533,0
182,214,0,0
183,214,0,0
184,214,0,0
185,214,0,0
186,214,0,0
187,213,-1,0
188,213,0,0
189,212,-1,0
190,212,0,0
191,211,-1,0
192,211,0,0
193,210,-1,0
194,210,0,0
195,74,-136,0
196,766,692,0
197,765,-1,0
198,711,-54,0
199,731,20,0
200,710,-21,0
201,86,-624,0
202,94,8,0
203,94,0,0
204,714,620,0
205,206,-508,0
206,206,0,0
207,738,532,0
208,205,-533,0
209,205,0,0
210,205,0,0
211,205,0,0
212,205,0,0
213,205,0,0
214,205,0,0
215,204,-1,0
216,204,0,0
217,204,0,0
218,204,0,0
219,204,0,0
220,204,0,0
221,204,0,0
222,204,0,0
223,204,0,0
224,204,0,0
225,204,0,0
226,204,0,0
227,204,0,0
228,204,0,0
229,204,0,0
230,204,0,0
231,204,0,0
232,204,0,0
233,204,0,0
234,204,0,0
235,204,0,0
236,204,0,0
237,204,0,0
238,204,0,0
239,204,0,0
240,204,0,0
241,726,522,0
242,726,0,0
243,95,-631,0
244,204,109,0
245,204,0,0
246,737,533,0
247,737,0,0
248,737,0,0
249,204,-533,0
250,706,502,0
251,736,30,0
252,204,-532,0
253,204,0,0
254,204,0,0
255,204,0,0
256,203,-1,0
257,203,0,0
258,203,0,0
259,202,-1,0
260,202,0,0
261,202,0,0
262,767,565,0
263,202,-565,0
264,201,-1,0
265,201,0,0
266,200,-1,0
267,200,0,0
268,200,0,0
269,199,-1,0
270,199,0,0
271,198,-1,0
272,90,-108,0
273,85,-5,0
274,197,112,0
275,196,-1,0
276,196,0,0
277,196,0,0
278,196,0,0
279,196,0,0
280,196,0,0
281,195,-1,0
282,195,0,0
283,194,-1,0
284,194,0,0
285,194,0,0
286,194,0,0
287,857,663,0
288,758,-99,0
289,715,-43,0
290,192,-523,0
291,724,532,0
292,725,1,0
293,725,0,0
294,713,-12,0
295,191,-522,0
296,729,538,0
297,191,-538,0
298,191,0,0
299,728,537,0
300,191,-537,0
301,722,531,0
302,190,-532,0
303,189,-1,0
304,92,-97,0
305,92,0,0
306,95,3,0
307,85,-10,0
308,188,103,0
309,188,0,0
310,85,-103,0
311,95,10,0
312,709,614,0
313,187,-522,0
314,95,-92,0
315,718,623,0
316,186,-532,0
317,186,0,0
318,186,0,0
319,185,-1,0
320,707,522,0
321,85,-622,0
322,94,9,0
323,94,0,0
324,185,91,0
325,185,0,0
326,681,496,0
327,184,-497,0
328,705,521,0
329,184,-521,0
330,184,0,0
331,185,1,0
332,183,-2,0
333,95,-88,0
334,182,87,0
335,86,-96,0
336,182,96,0
337,182,0,0
338,182,0,0
339,704,522,0
340,74,-630,0
341,74,0,0
342,74,0,0
343,74,0,0
344,74,0,0
345,182,108,0
346,704,522,0
347,75,-629,0
348,73,-2,0
349,753,680,0
350,182,-571,0
351,182,0,0
352,74,-108,0
353,704,630,0
354,704,0,0
355,704,0,0
356,754,50,0
357,73,-681,0
358,74,1,0
359,182,108,0
360,182,0,0
361,182,0,0
362,182,0,0
363,86,-96,0
364,182,96,0
365,182,0,0
366,725,543,0
367,725,0,0
368,182,-543,0
369,751,569,0
370,278,-473,0
371,752,474,0
372,752,0,0
373,752,0,0
