"Time (ps)"	"Counts per bin"
0	1278
100000	1306
200000	1275
300000	1297
400000	1291
500000	1326
600000	1284
700000	1313
800000	1364
900000	1308
1000000	1218
1100000	1336
1200000	1280
1300000	1341
1400000	1291
1500000	1218
1600000	1275
1700000	1284
1800000	1238
1900000	1229
2000000	1198
2100000	1294
2200000	1283
2300000	1217
2400000	1257
2500000	1212
2600000	1218
2700000	1229
2800000	1152
2900000	1199
3000000	1220
3100000	1215
3200000	1231
3300000	1225
3400000	1235
3500000	1225
3600000	1143
3700000	1227
3800000	1157
3900000	1111
4000000	1161
4100000	1213
4200000	1112
4300000	1242
4400000	1134
4500000	1227
4600000	1122
4700000	1191
4800000	1140
4900000	1153
5000000	1091
5100000	1104
5200000	1165
5300000	1130
5400000	1184
5500000	1127
5600000	1170
5700000	1133
5800000	1109
5900000	1200
6000000	1070
6100000	1119
6200000	1108
6300000	1076
6400000	1138
6500000	1034
6600000	1126
6700000	1076
6800000	1062
6900000	1114
7000000	1057
7100000	1061
7200000	1044
7300000	1088
7400000	1125
7500000	1064
7600000	1135
7700000	1060
7800000	1036
7900000	1073
8000000	1047
8100000	1023
8200000	1043
8300000	1098
8400000	1073
8500000	1052
8600000	1011
8700000	1041
8800000	976
8900000	1071
9000000	1007
9100000	971
9200000	1009
9300000	977
9400000	988
9500000	1030
9600000	1012
9700000	968
9800000	978
9900000	1005
10000000	982
10100000	989
10200000	980
10300000	958
10400000	945
10500000	992
10600000	1006
10700000	987
10800000	957
10900000	963
11000000	931
11100000	967
11200000	905
11300000	970
11400000	958
11500000	924
11600000	890
11700000	934
11800000	875
11900000	924
12000000	945
12100000	940
12200000	983
12300000	928
12400000	959
12500000	904
12600000	918
12700000	930
12800000	925
12900000	920
13000000	925
13100000	915
13200000	912
13300000	915
13400000	925
13500000	899
13600000	857
13700000	903
13800000	872
13900000	898
14000000	913
14100000	855
14200000	904
14300000	934
14400000	878
14500000	914
14600000	871
14700000	860
14800000	875
14900000	893
15000000	882
15100000	893
15200000	838
15300000	899
15400000	854
15500000	869
15600000	908
15700000	905
15800000	866
15900000	851
16000000	866
16100000	853
16200000	829
16300000	808
16400000	853
16500000	828
16600000	904
16700000	866
16800000	838
16900000	826
17000000	827
17100000	851
17200000	787
17300000	811
17400000	832
17500000	819
17600000	819
17700000	820
17800000	768
17900000	840
18000000	818
18100000	857
18200000	807
18300000	820
18400000	812
18500000	862
18600000	782
18700000	822
18800000	845
18900000	806
19000000	826
19100000	798
19200000	807
19300000	779
19400000	812
19500000	793
19600000	838
19700000	798
19800000	756
19900000	726
20000000	794
20100000	707
20200000	770
20300000	729
20400000	752
20500000	735
20600000	802
20700000	774
20800000	776
20900000	774
21000000	795
21100000	731
21200000	787
21300000	763
21400000	759
21500000	749
21600000	811
21700000	751
21800000	755
21900000	739
22000000	724
22100000	729
22200000	765
22300000	755
22400000	706
22500000	713
22600000	722
22700000	747
22800000	779
22900000	753
23000000	729
23100000	747
23200000	738
23300000	746
23400000	732
23500000	754
23600000	773
23700000	753
23800000	703
23900000	751
24000000	746
24100000	662
24200000	730
24300000	728
24400000	705
24500000	742
24600000	707
24700000	661
24800000	697
24900000	666
25000000	692
25100000	669
25200000	739
25300000	727
25400000	735
25500000	675
25600000	686
25700000	637
25800000	718
25900000	660
26000000	683
26100000	663
26200000	663
26300000	731
26400000	643
26500000	677
26600000	728
26700000	690
26800000	673
26900000	712
27000000	718
27100000	612
27200000	689
27300000	691
27400000	748
27500000	721
27600000	694
27700000	726
27800000	704
27900000	693
28000000	649
28100000	685
28200000	705
28300000	641
28400000	705
28500000	676
28600000	640
28700000	660
28800000	667
28900000	652
29000000	709
29100000	663
29200000	646
29300000	642
29400000	656
29500000	631
29600000	653
29700000	631
29800000	603
29900000	677
30000000	637
30100000	661
30200000	588
30300000	648
30400000	631
30500000	640
30600000	587
30700000	656
30800000	633
30900000	634
31000000	653
31100000	634
31200000	668
31300000	609
31400000	667
31500000	632
31600000	592
31700000	670
31800000	613
31900000	651
32000000	612
32100000	617
32200000	604
32300000	627
32400000	655
32500000	600
32600000	588
32700000	602
32800000	640
32900000	670
33000000	604
33100000	609
33200000	612
33300000	572
33400000	585
33500000	629
33600000	571
33700000	608
33800000	605
33900000	575
34000000	581
34100000	569
34200000	555
34300000	617
34400000	566
34500000	582
34600000	610
34700000	618
34800000	599
34900000	586
35000000	593
35100000	581
35200000	585
35300000	600
35400000	587
35500000	628
35600000	591
35700000	589
35800000	602
35900000	589
36000000	601
36100000	538
36200000	563
36300000	588
36400000	594
36500000	583
36600000	582
36700000	575
36800000	519
36900000	537
37000000	581
37100000	585
37200000	561
37300000	581
37400000	630
37500000	574
37600000	580
37700000	578
37800000	566
37900000	555
38000000	579
38100000	593
38200000	509
38300000	568
38400000	529
38500000	581
38600000	522
38700000	553
38800000	579
38900000	546
39000000	539
39100000	546
39200000	551
39300000	568
39400000	549
39500000	543
39600000	541
39700000	509
39800000	550
39900000	530
40000000	487
40100000	542
40200000	532
40300000	572
40400000	548
40500000	508
40600000	557
40700000	517
40800000	477
40900000	527
41000000	522
41100000	532
41200000	573
41300000	554
41400000	520
41500000	503
41600000	534
41700000	552
41800000	517
41900000	513
42000000	539
42100000	501
42200000	474
42300000	509
42400000	533
42500000	508
42600000	548
42700000	544
42800000	490
42900000	501
43000000	511
43100000	540
43200000	530
43300000	532
43400000	510
43500000	527
43600000	553
43700000	565
43800000	508
43900000	560
44000000	506
44100000	507
44200000	473
44300000	502
44400000	484
44500000	468
44600000	482
44700000	493
44800000	506
44900000	485
45000000	478
45100000	510
45200000	491
45300000	531
45400000	514
45500000	463
45600000	538
45700000	488
45800000	506
45900000	482
46000000	516
46100000	456
46200000	511
46300000	473
46400000	506
46500000	477
46600000	468
46700000	452
46800000	498
46900000	507
47000000	505
47100000	470
47200000	451
47300000	489
47400000	477
47500000	477
47600000	490
47700000	469
47800000	493
47900000	499
48000000	524
48100000	478
48200000	418
48300000	495
48400000	511
48500000	490
48600000	503
48700000	482
48800000	472
48900000	460
49000000	470
49100000	443
49200000	466
49300000	483
49400000	478
49500000	487
49600000	460
49700000	490
49800000	461
49900000	498
50000000	479
50100000	460
50200000	490
50300000	458
50400000	467
50500000	419
50600000	437
50700000	456
50800000	402
50900000	450
51000000	499
51100000	440
51200000	459
51300000	442
51400000	480
51500000	473
51600000	453
51700000	462
51800000	470
51900000	420
52000000	413
52100000	444
52200000	473
52300000	453
52400000	469
52500000	452
52600000	429
52700000	417
52800000	416
52900000	463
53000000	440
53100000	475
53200000	433
53300000	445
53400000	403
53500000	429
53600000	446
53700000	417
53800000	400
53900000	409
54000000	435
54100000	444
54200000	441
54300000	436
54400000	439
54500000	465
54600000	418
54700000	426
54800000	403
54900000	462
55000000	495
55100000	450
55200000	424
55300000	447
55400000	454
55500000	414
55600000	440
55700000	465
55800000	408
55900000	427
56000000	409
56100000	424
56200000	423
56300000	422
56400000	420
56500000	427
56600000	408
56700000	391
56800000	416
56900000	434
57000000	415
57100000	449
57200000	413
57300000	392
57400000	412
57500000	442
57600000	421
57700000	387
57800000	395
57900000	440
58000000	449
58100000	411
58200000	406
58300000	379
58400000	394
58500000	440
58600000	373
58700000	406
58800000	403
58900000	369
59000000	390
59100000	416
59200000	378
59300000	448
59400000	450
59500000	397
59600000	428
59700000	408
59800000	391
59900000	404
60000000	372
60100000	401
60200000	384
60300000	417
60400000	406
60500000	395
60600000	424
60700000	404
60800000	405
60900000	398
61000000	400
61100000	375
61200000	382
61300000	393
61400000	417
61500000	409
61600000	378
61700000	402
61800000	393
61900000	377
62000000	373
62100000	372
62200000	380
62300000	379
62400000	399
62500000	368
62600000	401
62700000	401
62800000	383
62900000	380
63000000	382
63100000	346
63200000	384
63300000	381
63400000	361
63500000	389
63600000	379
63700000	397
63800000	390
63900000	398
64000000	401
64100000	363
64200000	410
64300000	369
64400000	368
64500000	410
64600000	342
64700000	367
64800000	401
64900000	360
65000000	408
65100000	357
65200000	382
65300000	382
65400000	350
65500000	354
65600000	365
65700000	357
65800000	358
65900000	353
66000000	377
66100000	381
66200000	339
66300000	391
66400000	394
66500000	362
66600000	393
66700000	351
66800000	399
66900000	378
67000000	388
67100000	350
67200000	370
67300000	421
67400000	376
67500000	350
67600000	358
67700000	371
67800000	350
67900000	393
68000000	386
68100000	321
68200000	345
68300000	357
68400000	367
68500000	358
68600000	353
68700000	357
68800000	360
68900000	341
69000000	394
69100000	351
69200000	370
69300000	342
69400000	367
69500000	325
69600000	347
69700000	346
69800000	321
69900000	317
70000000	345
70100000	375
70200000	332
70300000	295
70400000	359
70500000	333
70600000	360
70700000	347
70800000	356
70900000	328
71000000	334
71100000	355
71200000	322
71300000	290
71400000	383
71500000	356
71600000	372
71700000	338
71800000	359
71900000	342
72000000	369
72100000	343
72200000	329
72300000	355
72400000	348
72500000	340
72600000	294
72700000	337
72800000	353
72900000	364
73000000	310
73100000	329
73200000	341
73300000	322
73400000	333
73500000	321
73600000	383
73700000	337
73800000	346
73900000	328
74000000	306
74100000	355
74200000	273
74300000	301
74400000	310
74500000	346
74600000	350
