"Time (ps)"	"Counts per bin"
0	1993
100000	1944
200000	1989
300000	1973
400000	1954
500000	1946
600000	1956
700000	2005
800000	1972
900000	1985
1000000	1913
1100000	1925
1200000	1911
1300000	1940
1400000	1853
1500000	1999
1600000	1866
1700000	1987
1800000	2046
1900000	2023
2000000	1891
2100000	1867
2200000	1931
2300000	2002
2400000	1906
2500000	1968
2600000	1923
2700000	1924
2800000	1884
2900000	1917
3000000	1890
3100000	1931
3200000	1959
3300000	1919
3400000	1906
3500000	1864
3600000	1870
3700000	1888
3800000	1834
3900000	1850
4000000	1930
4100000	1863
4200000	1859
4300000	1857
4400000	1907
4500000	1832
4600000	1837
4700000	1883
4800000	1928
4900000	1853
5000000	1866
5100000	1778
5200000	1814
5300000	1785
5400000	1783
5500000	1751
5600000	1890
5700000	1767
5800000	1802
5900000	1793
6000000	1773
6100000	1793
6200000	1768
6300000	1751
6400000	1685
6500000	1711
6600000	1786
6700000	1732
6800000	1715
6900000	1720
7000000	1745
7100000	1701
7200000	1741
7300000	1722
7400000	1693
7500000	1771
7600000	1638
7700000	1729
7800000	1678
7900000	1763
8000000	1759
8100000	1609
8200000	1707
8300000	1697
8400000	1599
8500000	1689
8600000	1658
8700000	1626
8800000	1651
8900000	1658
9000000	1730
9100000	1598
9200000	1590
9300000	1624
9400000	1581
9500000	1619
9600000	1665
9700000	1630
9800000	1660
9900000	1609
10000000	1727
10100000	1591
10200000	1559
10300000	1495
10400000	1588
10500000	1563
10600000	1600
10700000	1634
10800000	1573
10900000	1645
11000000	1585
11100000	1595
11200000	1613
11300000	1602
11400000	1576
11500000	1525
11600000	1470
11700000	1472
11800000	1480
11900000	1631
12000000	1478
12100000	1483
12200000	1470
12300000	1529
12400000	1511
12500000	1493
12600000	1506
12700000	1454
12800000	1494
12900000	1533
13000000	1416
13100000	1485
13200000	1483
13300000	1372
13400000	1447
13500000	1444
13600000	1443
13700000	1381
13800000	1440
13900000	1409
14000000	1370
14100000	1446
14200000	1443
14300000	1429
14400000	1448
14500000	1392
14600000	1417
14700000	1440
14800000	1355
14900000	1383
15000000	1333
15100000	1380
15200000	1384
15300000	1354
15400000	1265
15500000	1426
15600000	1317
15700000	1278
15800000	1373
15900000	1331
16000000	1344
16100000	1295
16200000	1311
16300000	1400
16400000	1289
16500000	1346
16600000	1251
16700000	1316
16800000	1280
16900000	1283
17000000	1346
17100000	1334
17200000	1271
17300000	1324
17400000	1295
17500000	1203
17600000	1280
17700000	1268
17800000	1278
17900000	1318
18000000	1291
18100000	1193
18200000	1217
18300000	1215
18400000	1225
18500000	1284
18600000	1220
18700000	1169
18800000	1156
18900000	1244
19000000	1163
19100000	1207
19200000	1277
19300000	1191
19400000	1145
19500000	1250
19600000	1209
19700000	1199
19800000	1261
19900000	1172
20000000	1178
20100000	1205
20200000	1203
20300000	1203
20400000	1116
20500000	1215
20600000	1205
20700000	1156
20800000	1091
20900000	1092
21000000	1116
21100000	1148
21200000	1125
21300000	1185
21400000	1153
21500000	1156
21600000	1091
21700000	1155
21800000	1086
21900000	1122
22000000	1085
22100000	1148
22200000	1088
22300000	1069
22400000	1104
22500000	1160
22600000	1070
22700000	1106
22800000	1051
22900000	1047
23000000	1052
23100000	1115
23200000	1001
23300000	1082
23400000	1062
23500000	1090
23600000	1090
23700000	1045
23800000	1037
23900000	1064
24000000	1085
24100000	1033
24200000	1020
24300000	1055
24400000	1056
24500000	994
24600000	1067
24700000	1033
24800000	1067
24900000	1054
25000000	1027
25100000	1086
25200000	1050
25300000	1037
25400000	980
25500000	1029
25600000	1039
25700000	1047
25800000	936
25900000	1033
26000000	935
26100000	967
26200000	1003
26300000	1012
26400000	1017
26500000	992
26600000	1031
26700000	914
26800000	1024
26900000	921
27000000	1017
27100000	945
27200000	923
27300000	964
27400000	998
27500000	1032
27600000	877
27700000	924
27800000	932
27900000	946
28000000	880
28100000	890
28200000	948
28300000	884
28400000	923
28500000	950
28600000	909
28700000	881
28800000	860
28900000	900
29000000	938
29100000	926
29200000	897
29300000	870
29400000	909
29500000	850
29600000	907
29700000	875
29800000	867
29900000	853
30000000	861
30100000	896
30200000	853
30300000	835
30400000	905
30500000	958
30600000	871
30700000	853
30800000	873
30900000	828
31000000	848
31100000	859
31200000	847
31300000	796
31400000	888
31500000	855
31600000	840
31700000	873
31800000	847
31900000	876
32000000	861
32100000	844
32200000	791
32300000	863
32400000	884
32500000	819
32600000	850
32700000	865
32800000	802
32900000	814
33000000	777
33100000	848
33200000	812
33300000	799
33400000	807
33500000	795
33600000	756
33700000	822
33800000	781
33900000	827
34000000	765
34100000	817
34200000	799
34300000	808
34400000	764
34500000	747
34600000	816
34700000	797
34800000	810
34900000	811
35000000	800
35100000	800
35200000	755
35300000	806
35400000	736
35500000	811
35600000	765
35700000	767
35800000	780
35900000	776
36000000	720
36100000	806
36200000	781
36300000	777
36400000	678
36500000	738
36600000	762
36700000	765
36800000	776
36900000	736
37000000	785
37100000	711
37200000	759
37300000	721
37400000	692
37500000	721
37600000	768
37700000	691
37800000	766
37900000	725
38000000	702
38100000	720
38200000	762
38300000	696
38400000	727
38500000	729
38600000	738
38700000	691
38800000	725
38900000	689
39000000	680
39100000	703
39200000	691
39300000	649
39400000	692
39500000	709
39600000	686
39700000	674
39800000	709
39900000	705
40000000	677
40100000	680
40200000	711
40300000	656
40400000	668
40500000	713
40600000	674
40700000	660
40800000	672
40900000	677
41000000	610
41100000	658
41200000	675
41300000	673
41400000	595
41500000	660
41600000	662
41700000	633
41800000	681
41900000	624
42000000	634
42100000	643
42200000	648
42300000	684
42400000	656
42500000	628
42600000	660
42700000	669
42800000	638
42900000	674
43000000	621
43100000	627
43200000	657
43300000	613
43400000	575
43500000	628
43600000	616
43700000	607
43800000	595
43900000	616
44000000	634
44100000	626
44200000	598
44300000	632
44400000	630
44500000	616
44600000	613
44700000	611
44800000	657
44900000	628
45000000	605
45100000	668
45200000	618
45300000	581
45400000	592
45500000	600
45600000	602
45700000	605
45800000	574
45900000	604
46000000	580
46100000	607
46200000	613
46300000	582
