"Time (ps)"	"Counts per bin"
0	2029
100000	2136
200000	2054
300000	2157
400000	2029
500000	2078
600000	2066
700000	2168
800000	2140
900000	2168
1000000	2086
1100000	2089
1200000	2207
1300000	2149
1400000	2144
1500000	2026
1600000	2075
1700000	2075
1800000	2032
1900000	2112
2000000	2112
2100000	2018
2200000	2012
2300000	2052
2400000	2022
2500000	2084
2600000	2033
2700000	2022
2800000	1966
2900000	2143
3000000	2053
3100000	2047
3200000	2071
3300000	2047
3400000	2030
3500000	2034
3600000	2031
3700000	2015
3800000	1995
3900000	2025
4000000	1985
4100000	1989
4200000	1958
4300000	1906
4400000	1872
4500000	2004
4600000	2015
4700000	1880
4800000	2020
4900000	1845
5000000	1936
5100000	1969
5200000	1851
5300000	1925
5400000	1824
5500000	1877
5600000	1871
5700000	1936
5800000	1918
5900000	1881
6000000	1855
6100000	1836
6200000	1935
6300000	1932
6400000	1960
6500000	1822
6600000	1965
6700000	1959
6800000	1830
6900000	1822
7000000	1818
7100000	1897
7200000	1800
7300000	1837
7400000	1812
7500000	1840
7600000	1798
7700000	1747
7800000	1751
7900000	1841
8000000	1786
8100000	1776
8200000	1761
8300000	1730
8400000	1800
8500000	1836
8600000	1794
8700000	1802
8800000	1736
8900000	1749
9000000	1722
9100000	1764
9200000	1686
9300000	1717
9400000	1723
9500000	1736
9600000	1670
9700000	1658
9800000	1790
9900000	1727
10000000	1766
10100000	1708
10200000	1648
10300000	1667
10400000	1654
10500000	1672
10600000	1692
10700000	1560
10800000	1636
10900000	1622
11000000	1638
11100000	1592
11200000	1646
11300000	1728
11400000	1695
11500000	1526
11600000	1608
11700000	1601
11800000	1694
11900000	1667
12000000	1589
12100000	1561
12200000	1561
12300000	1577
12400000	1592
12500000	1541
12600000	1531
12700000	1551
12800000	1606
12900000	1473
13000000	1537
13100000	1529
13200000	1553
13300000	1490
13400000	1513
13500000	1587
13600000	1508
13700000	1480
13800000	1590
13900000	1515
14000000	1457
14100000	1530
14200000	1560
14300000	1520
14400000	1518
14500000	1548
14600000	1452
14700000	1486
14800000	1436
14900000	1440
15000000	1508
15100000	1473
15200000	1459
15300000	1459
15400000	1447
15500000	1398
15600000	1417
15700000	1438
15800000	1406
15900000	1352
16000000	1435
16100000	1498
16200000	1478
16300000	1403
16400000	1401
16500000	1409
16600000	1437
16700000	1351
16800000	1375
16900000	1414
17000000	1353
17100000	1423
17200000	1391
17300000	1357
17400000	1338
17500000	1441
17600000	1317
17700000	1300
17800000	1288
17900000	1360
18000000	1355
18100000	1334
18200000	1338
18300000	1296
18400000	1287
18500000	1323
18600000	1283
18700000	1337
18800000	1317
18900000	1302
19000000	1266
19100000	1281
19200000	1320
19300000	1222
19400000	1256
19500000	1334
19600000	1251
19700000	1238
19800000	1246
19900000	1256
20000000	1251
20100000	1250
20200000	1229
20300000	1204
20400000	1255
20500000	1265
20600000	1271
20700000	1233
20800000	1258
20900000	1212
21000000	1310
21100000	1200
21200000	1215
21300000	1259
21400000	1160
21500000	1197
21600000	1146
21700000	1218
21800000	1145
21900000	1230
22000000	1152
22100000	1168
22200000	1170
22300000	1194
22400000	1187
22500000	1152
22600000	1168
22700000	1096
22800000	1180
22900000	1180
23000000	1155
23100000	1201
23200000	1099
23300000	1078
23400000	1138
23500000	1146
23600000	1202
23700000	1106
23800000	1128
23900000	1133
24000000	1163
24100000	1115
24200000	1058
24300000	1089
24400000	1128
24500000	1171
24600000	1115
24700000	1115
24800000	1112
24900000	1108
25000000	1101
25100000	1067
25200000	1108
25300000	1076
25400000	1164
25500000	1116
25600000	1033
25700000	1046
25800000	1092
25900000	1067
26000000	1053
26100000	1047
26200000	1046
26300000	1118
26400000	997
26500000	1076
26600000	1017
26700000	1018
26800000	1020
26900000	1010
27000000	1023
27100000	1090
27200000	1041
27300000	1012
27400000	1034
27500000	954
27600000	989
27700000	959
27800000	1017
27900000	983
28000000	948
28100000	942
28200000	1019
28300000	946
28400000	1017
28500000	1042
28600000	993
28700000	959
28800000	1012
28900000	984
29000000	931
29100000	984
29200000	941
29300000	1001
29400000	931
29500000	998
29600000	942
29700000	1010
29800000	975
29900000	926
30000000	926
30100000	994
30200000	946
30300000	929
30400000	979
30500000	963
30600000	934
30700000	926
30800000	982
30900000	909
31000000	897
31100000	923
31200000	941
31300000	871
31400000	947
31500000	947
31600000	912
31700000	880
31800000	945
31900000	821
32000000	888
32100000	919
32200000	922
32300000	860
32400000	855
32500000	861
32600000	892
32700000	849
32800000	899
32900000	910
33000000	834
33100000	894
33200000	893
33300000	886
33400000	815
33500000	844
33600000	862
33700000	870
33800000	866
33900000	833
34000000	879
34100000	801
34200000	902
34300000	896
34400000	913
34500000	857
34600000	837
34700000	904
34800000	857
34900000	894
35000000	867
35100000	815
35200000	843
35300000	921
35400000	890
35500000	841
35600000	867
35700000	854
35800000	793
35900000	844
36000000	749
36100000	843
36200000	820
36300000	805
36400000	870
36500000	783
